Name,Description,Time
zygarde-complete,Found,12-09-2021 13:00:37
abomasnow,Found,12-09-2021 13:00:37
abomasnow-mega,Found,12-09-2021 13:00:37
abra,Found,12-09-2021 13:00:37
absol,Found,12-09-2021 13:00:37
absol-mega,Found,12-09-2021 13:00:38
accelgor,Found,12-09-2021 13:00:38
aegislash-blade,Found,12-09-2021 13:00:38
aegislash-shield,Found,12-09-2021 13:00:38
aerodactyl,Found,12-09-2021 13:00:38
aerodactyl-mega,Found,12-09-2021 13:00:38
aggron,Found,12-09-2021 13:00:38
aggron-mega,Found,12-09-2021 13:00:38
aipom,Found,12-09-2021 13:00:38
alakazam,Found,12-09-2021 13:00:38
alakazam-mega,Found,12-09-2021 13:00:38
alcremie,Found,12-09-2021 13:00:38
alomomola,Found,12-09-2021 13:00:38
altaria,Found,12-09-2021 13:00:38
altaria-mega,Found,12-09-2021 13:00:38
amaura,Found,12-09-2021 13:00:38
ambipom,Found,12-09-2021 13:00:38
amoonguss,Found,12-09-2021 13:00:39
ampharos,Found,12-09-2021 13:00:39
ampharos-mega,Found,12-09-2021 13:00:39
anorith,Found,12-09-2021 13:00:39
appletun,Found,12-09-2021 13:00:39
applin,Found,12-09-2021 13:00:39
araquanid,Found,12-09-2021 13:00:39
arbok,Found,12-09-2021 13:00:39
arcanine,Found,12-09-2021 13:00:39
arceus,Found,12-09-2021 13:00:39
archen,Found,12-09-2021 13:00:39
archeops,Found,12-09-2021 13:00:39
arctovish,Found,12-09-2021 13:00:39
arctozolt,Found,12-09-2021 13:00:39
ariados,Found,12-09-2021 13:00:39
armaldo,Found,12-09-2021 13:00:39
aromatisse,Found,12-09-2021 13:00:39
aron,Found,12-09-2021 13:00:40
arrokuda,Found,12-09-2021 13:00:40
articuno,Found,12-09-2021 13:00:40
articuno-galarian,Not Found,12-09-2021 13:00:40
audino,Found,12-09-2021 13:00:40
audino-mega,Found,12-09-2021 13:00:40
aurorus,Found,12-09-2021 13:00:40
avalugg,Found,12-09-2021 13:00:40
axew,Found,12-09-2021 13:00:40
azelf,Found,12-09-2021 13:00:40
azumarill,Found,12-09-2021 13:00:40
azurill,Found,12-09-2021 13:00:40
